Respondent_ID,A1_Organization_Type,A2_Organization_Size,A3_Years_Of_Operation,A4_Number_Of_Employees,A5_Primary_Location,A6_Main_Waste_Type,A7_Formal_Waste_Policy,A8_Responsible_Party,B1_SegregateAtSource,B2_SeparateContainers,B3_LabelledBins,B4_EmployeeUnderstanding,B5_HazardousSeparate,B6_StorageHygiene,C1_MeasurableTargets,C2_MinimizeDisposables,C3_ReusablePreferred,C4_PaperlessProcess,C5_ProcurementConsidersRecyclability,C6_ReuseRepairRefurbish,D1_ScheduledCollection,D2_RecordsMaintained,D3_AuthorisedCollectors,D4_SafeTransport,D5_VerifiesDisposalFacility,D6_OverflowProcedures,E1_RecyclersUsed,E2_MonitorsDiversionRate,E3_OrganicComposted,E4_EmployeesIdentifyRecovery,E5_SupplierPackagingCollab,E6_RecyclingSavingsTracked,F1_RegularTraining,F2_ResponsibilitiesCommunicated,F3_AwarenessProgrammes,F4_EncouragedToReport,F5_ActiveParticipation,F6_IncentivesProvided,G1_ManagementSupport,G2_FinancialResourcesAllocated,G3_ResponsibilitiesAssigned,G4_PerformanceReviewed,G5_EnvObjectivesIntegrated,G6_CorrectiveActionsTaken,H1_AwareOfRules,H2_ComplianceReviewed,H3_LicencesMaintained,H4_ContractorsCompliance,H5_AuditsConducted,H6_NonComplianceDocumented,I1_DigitalRecording,I2_DataAnalysed,I3_KPIsUsed,I4_SmartTechUsed,I5_ReportsSharedWithMgmt,I6_DataBasedDecisions,J1_CommunicatesWithAuthorities,J2_GuidelinesConsidered,J3_CollaboratesWithRecyclers,J4_ContractorsEvaluated,J5_ParticipatesInProgrammes,J6_SuppliersEncouraged,K1_HighCosts,K2_LackOfAwareness,K3_LimitedInfrastructure,K4_InadequateMonitoring,K5_LackOfPersonnel,K6_LimitedRecyclerAccess,K7_InsufficientMgmtSupport,K8_IrregularCollection,B_Section_Score,C_Section_Score,D_Section_Score,E_Section_Score,F_Section_Score,G_Section_Score,H_Section_Score,I_Section_Score,J_Section_Score,K_Barriers_Score,Overall_Maturity_Score
R0001,Manufacturing,Medium: 50-249 employees,3-5 years,100-249,Industrial area,Plastic waste,Not sure,Operations department,3,2,2,2,2,2,2,2,3,3,3,2,4,4,4,5,4,3,4,4,3,3,3,3,4,3,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,3,2,2,3,2,3,4,2,3,4,4,4,3,3,3,2.17,2.5,4.0,3.33,4.17,4.0,4.17,3.67,2.67,3.25,3.41
R0002,Retail,Small: 10-49 employees,3-5 years,10-49,Urban area,Food or organic waste,Not sure,External waste-management agency,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0003,Manufacturing,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Industrial area,Paper and cardboard,Under development,External waste-management agency,4,5,3,4,4,4,4,3,3,5,3,4,4,2,4,5,4,4,4,3,5,4,4,3,3,3,4,4,4,4,3,5,4,3,4,5,5,5,5,5,4,4,2,4,3,4,3,2,4,4,4,4,4,4,3,2,2,3,2,3,2,3,4.0,3.67,3.83,3.83,3.67,4.0,4.67,3.0,4.0,2.5,3.85
R0004,Healthcare,Medium: 50-249 employees,11-20 years,50-99,Urban area,Mixed municipal waste,Not sure,Environmental or sustainability department,4,3,3,3,4,5,4,5,4,4,4,4,4,3,3,4,3,4,4,3,4,2,3,4,5,5,4,4,5,3,3,4,4,5,4,4,4,3,4,4,3,3,4,4,5,4,5,4,4,5,5,5,5,4,2,3,2,3,2,2,3,2,3.67,4.17,3.5,3.33,4.33,4.0,3.5,4.33,4.67,2.38,3.94
R0005,Retail,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Semi-urban area,Plastic waste,No,External waste-management agency,2,3,4,4,3,3,4,3,3,5,3,4,3,4,2,2,2,3,1,2,1,2,2,2,2,3,2,3,3,2,3,3,3,2,3,2,3,3,1,2,2,3,2,2,1,2,2,1,1,3,2,3,2,1,4,4,4,3,5,4,5,4,3.17,3.67,2.67,1.67,2.5,2.67,2.33,1.67,2.0,4.12,2.48
R0006,Manufacturing,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Industrial area,Paper and cardboard,Not sure,External waste-management agency,4,4,3,3,4,3,4,3,4,3,3,4,3,1,2,3,2,3,4,4,3,4,4,3,2,3,2,2,1,2,,4,2,3,,4,4,4,2,3,5,3,3,4,3,4,3,3,2,3,4,3,2,4,5,5,4,3,3,4,4,3,3.5,3.5,2.33,3.67,2.0,3.25,3.5,3.33,3.0,3.88,3.12
R0007,Healthcare,Medium: 50-249 employees,3-5 years,50-99,Semi-urban area,Plastic waste,Under development,Operations department,3,2,2,2,3,3,5,4,3,4,3,4,4,3,4,4,4,4,3,2,3,3,4,3,5,3,4,4,5,3,4,4,4,3,3,3,4,5,4,3,4,3,4,4,3,5,5,5,3,3,3,4,,3,4,3,2,2,3,2,3,2,2.5,3.83,3.83,3.0,4.0,3.5,3.83,4.33,3.2,2.62,3.56
R0008,Information Technology,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Urban area,Mixed municipal waste,No,External waste-management agency,4,3,3,3,3,3,3,3,2,4,3,3,2,2,2,2,2,3,4,4,4,5,4,4,5,3,4,3,3,3,2,2,3,3,4,4,4,5,3,4,3,3,3,3,4,4,3,4,4,2,3,2,4,3,2,3,2,1,1,4,2,2,3.17,3.0,2.17,4.17,3.5,3.0,3.67,3.5,3.0,2.12,3.24
R0009,Healthcare,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Semi-urban area,Plastic waste,Under development,External waste-management agency,3,5,5,5,4,5,2,3,2,4,4,3,3,2,3,4,3,3,4,5,4,3,4,5,3,4,,5,5,3,4,3,3,4,4,5,4,4,3,5,4,3,4,3,4,4,4,5,3,2,4,4,3,4,2,4,4,2,3,4,3,4,4.5,3.0,3.0,4.17,4.0,3.83,3.83,4.0,3.33,3.25,3.74
R0010,Retail,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Commercial area,Plastic waste,No,Facility management team,3,2,2,3,3,2,3,3,4,3,3,4,3,3,4,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,4,3,3,4,2,3,3,5,4,3,5,3,3,3,3,3,4,4,3,3,4,4,4,2,3,3,3,2.5,3.33,3.33,2.83,3.0,2.83,3.0,3.83,3.33,3.25,3.11
R0011,Information Technology,Small: 10-49 employees,3-5 years,10-49,Urban area,Mixed municipal waste,Under development,Facility management team,3,3,3,3,3,4,3,3,3,3,3,3,5,3,4,5,3,4,4,4,4,4,3,4,,4,4,5,2,4,3,4,3,4,4,4,4,3,5,4,5,4,5,3,4,5,5,5,5,4,4,2,4,4,3,2,2,3,2,2,2,3,3.17,3.0,4.0,3.83,3.8,3.67,4.17,4.5,3.83,2.38,3.77
R0012,Manufacturing,Large: 250 employees or more,6-10 years,100-249,Industrial area,Mixed municipal waste,Not sure,Operations department,4,3,3,4,3,5,3,3,4,3,3,3,3,4,5,5,4,5,4,4,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,5,5,3,4,5,4,4,,3,3,4,3,4,3,4,5,4,3,4,1,2,3,3,2,1,3.67,3.17,4.33,4.0,3.0,4.0,4.33,3.6,3.83,2.38,3.77
R0013,Healthcare,Medium: 50-249 employees,11-20 years,50-99,Urban area,Paper and cardboard,Under development,External waste-management agency,4,5,4,4,3,3,3,3,2,2,3,4,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,4,3,4,,2,4,4,4,2,3,3,3,3,3,3,3,4,3,3,4,2,3,3,4,3,4,3,2,3,3,3,2,2,3,3,3.83,2.83,3.67,3.33,3.33,3.2,3.0,3.17,3.33,2.62,3.3
R0014,Retail,Large: 250 employees or more,11-20 years,250 or more,Industrial area,Paper and cardboard,Not sure,Facility management team,5,5,5,5,4,5,1,3,3,3,2,3,5,4,4,4,4,4,3,3,4,2,5,3,4,4,4,4,4,3,4,4,3,3,3,4,4,4,3,4,3,5,4,4,4,5,5,4,3,4,4,3,4,5,3,2,3,3,3,3,,3,4.83,2.5,4.17,3.33,3.83,3.5,3.83,4.33,3.83,2.86,3.79
R0015,Manufacturing,Large: 250 employees or more,11-20 years,250 or more,Industrial area,Plastic waste,Not sure,Operations department,3,3,3,4,2,4,5,5,5,4,5,5,3,2,2,2,2,4,4,3,4,4,4,3,4,3,4,5,4,4,3,3,3,4,4,4,3,3,3,4,3,4,4,4,5,4,4,5,4,5,4,5,4,4,4,3,3,3,4,3,2,2,3.17,4.83,2.5,3.67,4.0,3.5,3.33,4.33,4.33,3.0,3.74
R0016,Hospitality/Services,Medium: 50-249 employees,3-5 years,50-99,Urban area,Food or organic waste,No,Environmental or sustainability department,3,3,4,3,4,3,3,3,3,4,3,3,3,4,3,4,4,4,4,2,3,2,3,2,3,3,3,3,4,4,2,2,2,3,1,3,3,4,3,3,2,3,4,3,3,4,3,3,3,4,4,3,4,4,2,2,4,3,4,3,4,4,3.33,3.17,3.67,2.67,3.33,2.17,3.0,3.33,3.67,3.25,3.15
R0017,Retail,Medium: 50-249 employees,6-10 years,50-99,Semi-urban area,Food or organic waste,Yes,Operations department,3,2,2,3,3,2,3,3,2,2,3,3,4,4,4,4,4,5,4,4,3,3,4,3,3,3,4,3,3,4,4,3,3,3,5,4,4,4,4,,4,3,4,3,4,4,5,4,3,4,3,3,2,2,4,3,3,3,4,2,3,4,2.5,2.67,4.17,3.5,3.33,3.67,3.8,4.0,2.83,3.25,3.39
